施打站全稱,施打站縣市,施打站行政區,施打站地址,預約電話
二林基督教醫院,彰化縣,二林鎮,彰化縣二林鎮南光里大成路一段558號,04-8952031
洪宗鄰醫療社團法人洪宗鄰醫院,彰化縣,二林鎮,彰化縣二林鎮中正路61號,04-8967955
宋志懿醫院,彰化縣,二林鎮,彰化縣二林鎮大成路一段51號,04-8968707
員林郭醫院大村分院,彰化縣,大村鄉,彰化縣大村鄉大村村田洋橫巷2之9號,04-8539666
卓醫院,彰化縣,北斗鎮,彰化縣北斗鎮中山路一段311號 ,04-8882995
南星醫院,彰化縣,北斗鎮,彰化縣北斗鎮斗苑路一段26號,04-8872178
仁和醫院,彰化縣,田中鎮,彰化縣田中鎮中州路一段157號,04-8742108
建元醫院,彰化縣,田中鎮,彰化縣田中鎮中南路三段512號,04-8743747​
伸港鄉忠孝醫院,彰化縣,伸港鄉,彰化縣伸港鄉新港村忠孝路30號,04-7991618
道周醫院,彰化縣,和美鎮,彰化縣和美鎮和光路180號,04-7566995
員林基督教醫院,彰化縣,員林市,彰化縣員林市莒光路456號,04-8381456
惠來醫療社團法人宏仁醫院,彰化縣,員林市,彰化縣員林市惠來街89號 ,04-8375878
員生醫院,彰化縣,員林市,彰化縣員林市莒光路359號,04-8383995
員榮醫院,彰化縣,員林市,彰化縣員林市中正路201號,04-8326161
員林何醫院,彰化縣,員林市,彰化縣員林市民族街33號,04-8343838
員郭醫院,彰化縣,員林市,彰化縣員林市員林大道六段51號,04-8312889
皓生醫院,彰化縣,員林市,彰化縣員林市萬年路三段133號,04-8379560
常春醫院,彰化縣,員林市,彰化縣員林市員集路二段501號,04-8376689
衛生福利部彰化醫院,彰化縣,埔心鄉,彰化縣埔心鄉中正路二段80號,04-8298686
彰濱秀傳醫院,彰化縣,鹿港鎮,彰化縣鹿港鎮鹿工路6號,04-7813888
鹿港基督教醫院,彰化縣,鹿港鎮,鹿港鎮中正路480號   ,04-7779680
道安醫院,彰化縣,溪湖鎮,彰化縣溪湖鎮彰水路三段362號,04-8852309
彰化基督教醫療財團法人彰化基督教醫院,彰化縣,彰化市,彰化縣彰化市旭光路235號,04-7225132
秀傳紀念秀傳醫院,彰化縣,彰化市,彰化縣彰化市南瑤里中山路一段542號,04-7220133
漢銘基督教醫院,彰化縣,彰化市,彰化市中山路一段366號 ,04-7113456
信生醫院,彰化縣,彰化市,彰化縣彰化市三民路312號,04-7251191
成美醫院,彰化縣,彰化市,彰化市三民路56號,04-7273127
冠華醫院,彰化縣,彰化市,彰化市中正路一段437號,04-7256067
順安醫院,彰化縣,彰化市,彰化縣彰化市光復路53號,04-7232199
健民診所,彰化縣,二水鄉,彰化縣二水鄉光化村員集路四段54號,04-8797279
安康診所,彰化縣,二水鄉,彰化縣二水鄉光化村員集路四段54號,04-8797279
恩生診所,彰化縣,二水鄉,彰化縣二水鄉光化村員集路四段14號,04-8793636
陳立凱小兒科診所,彰化縣,二林鎮,彰化縣二林鎮大成路一段135號,04-895-6130
台安診所,彰化縣,二林鎮,彰化縣二林鎮斗苑路五段215號,04-8961138
李順安診所,彰化縣,二林鎮,彰化縣二林鎮儒林路2段288號,04-8960267
二林綜祐診所,彰化縣,二林鎮,彰化縣二林鎮中正路6號,04-8952991
陳嘉惠診所,彰化縣,二林鎮,彰化縣二林鎮大成路一段306號,04-8960247、04-8960036
黃建成診所,彰化縣,大村鄉,彰化縣大村鄉茄苳路1段235號,04-8524074
萬來診所,彰化縣,大村鄉,彰化縣大村鄉福興村山腳路80-8號,04-8534585
宜禾診所,彰化縣,大村鄉,彰化縣大村鄉過溝三巷29號,04-8520937
黃建成診所,彰化縣,大村鄉,彰化縣大村鄉茄苳路1段235號,04-8524074
邱錫熊診所,彰化縣,北斗鎮,彰化縣北斗鎮光復路141號,04-8871-239
小樹苗兒科診所,彰化縣,北斗鎮,彰化縣北斗鎮中山路一段333號,04-8883-823
合濟診所,彰化縣,北斗鎮,彰化縣北斗鎮中山路二段38號,04-8877995
林樹頭內兒科診所,彰化縣,北斗鎮,彰化縣北斗鎮斗苑路一段243號,04-8873811
文華診所,彰化縣,永靖鄉,彰化縣永靖鄉瑚璉路167巷6號,04-8233-216
瑚璉診所,彰化縣,永靖鄉,永靖鄉永西村瑚璉路243號,04-8226566
宏元診所,彰化縣,永靖鄉,永靖鄉永東村永和巷25號,04-8239420
中英診所,彰化縣,田中鎮,彰化縣田中鎮員集路二段342號,04-8762-021
公園診所,彰化縣,田中鎮,彰化縣田中鎮新福路57號,04-8752-200
周武昌診所,彰化縣,田中鎮,彰化縣田中鎮北路里新生街126號,04-8753-625
家禾診所,彰化縣,田中鎮,田中鎮中州路一段242號,04_8742475
建元醫院,彰化縣,田中鎮,田中鎮中路里中南路三段512號,04－8743747
聖欣診所,彰化縣,田中鎮,田中鎮中正路415號,04-8753706
謝進國診所,彰化縣,田中鎮,彰化縣田中鎮南北街193號,04-8761710
洪明仁診所,彰化縣,田尾鄉,彰化縣田尾鄉東平巷230弄60號,04-8835135
茂榮家庭醫學科診所,彰化縣,竹塘鄉,竹塘鄉(村)仁愛街56號,04-8970709
上賀診所,彰化縣,竹塘鄉,竹塘鄉(村)竹塘街68號,04-8970700
黃易文診所,彰化縣,竹塘鄉,竹塘鄉(村)竹林路一段170號,04-8976680
祥安診所,彰化縣,伸港鄉,彰化縣伸港鄉新港路234號,04-7994369
佑美診所,彰化縣,秀水鄉,"彰化縣秀水鄉彰水路二段358,358-1號",04-769-8282
宗生診所,彰化縣,秀水鄉,彰化縣秀水鄉彰水路2段195號,04-7692201
秀明耳鼻喉科診所,彰化縣,秀水鄉,彰化縣秀水鄉彰水路二段533號,04-7684550
蕭國隆小兒科診所,彰化縣,和美鎮,彰化縣和美鎮彰美路五段255號,04-7553-021
曾思遠診所,彰化縣,和美鎮,彰化縣和美鎮線和線路85號,04-7555-423
醫世紀小兒科診所,彰化縣,和美鎮,彰化縣和美鎮彰美路五段315號,04-7575-859
